报文名称,报文类型,报文ID,报文发送类型,报文周期时间,子ID,报文长度,位,信号长度,信号名称(英文),信号名称(中文)
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,9.2,1,Remote_Unlock_F_Hatch_Cmd_S,遥控解锁前舱盖命令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,9.3-9.4,2,Phone_Trunk_Open_F_Hatch_S,手机开前舱盖指令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,9.5-9.6,2,Phone_Unlock_Command_To_Open_LF_Door_S,手机解锁开左前门命令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,9.7-10.0,2,Phone_Unlock_Command_To_Open_RF_Door_S,手机解锁开右前门命令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,10.1-10.2,2,Phone_Unlock_Command_To_Open_LR_Door_S,手机解锁开左后门命令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,10.3-10.4,2,Phone_Unlock_Command_To_Open_RR_Door_S,手机解锁开右后门命令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,10.5-10.7,3,Left_Rear_Sunshade_Switch_S,左后遮阳帘开关
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,11.0-11.1,2,UWB_Unlocking_Door_Opening_Command_S,UWB解锁开门指令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,11.2-11.3,2,NFC_Unlocking_Door_Opening_Command_S,NFC解锁开门指令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,11.4-11.5,2,Palm_Vein_Unlocking_Door_Opening_Command_S,掌静脉解锁开门指令
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,11.6-14.2,21,Reserved_S,Reserved
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,14.3-14.4,2,Key_Control_Door_Shade_Command_S,遥控钥匙控制车窗遮阳帘
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,14.5-14.7,3,LR_Switch_Contrl_RR_Window_S,左后窗控控制右后车窗升降
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,15.0-15.1,2,Left_Rear_Door_Rear_Sunshade_Switch_S,左后门后遮阳帘开关
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,15.2-15.3,2,Left_Rear_Door_Front_Sunshade_Switch_S,左后门前遮阳帘开关
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,15.4-15.7,4,Rolling_Counter_1EF_S,滚动计数器
Left_BCM_0x1EF,Normal,0x1EF,Cycle,20,No,16,16.0-16.7,8,Checksum_1EF_S,校验码
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,,,,
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,1.0-1.1,2,LF_Win_Rmt_Cls_S,左前车窗远程关窗
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,1.2-1.3,2,RL_Win_Rmt_Cls_S,左后车窗远程关窗
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,1.4-1.5,2,RF_Win_Rmt_Cls_388_S,右前车窗远程关窗
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,1.6-1.7,2,RR_Win_Rmt_Cls_388_S,右后车窗远程关窗
Left_BCM_0x388,Normal,0x388,CE,100/1000,No,8,2.0-2.1,2,LF_Win_Rmt_Cls_Fail_Rson_S,左前车窗关窗失败原因
